Robot	Study or project	Filename (.wav)	Text	Visemes (.txt)	Visemes with lookat (.txt)	Speech energy (*.mag.bin)
which robot was this created for (could indicate where the file is in contentroot)	which study or project was this created for (could indicate where the file is in contentroot)	what is the file called	what is said in the file?	is there a plain viseme file?	some viseme files have commands like “tablet”, “child”, “left”, to indicate where the robot should look	generated for Tega
DragonBot	SR2	AndThenWhatHappens	And then what happens?	x	x	
DragonBot	SR2	AnywayIHaveToGoNow	Anyway, I have to go now, and so do you.	x	x	
DragonBot	SR2	AreYouDone	Are you done?	x	x	
DragonBot	SR2	AreYouSureIWentFirstLastTime	Are you sure? I went first last time.	x	x	
DragonBot	SR2	ArentIYourFavoriteRobot	Aren't I your favorite robot?	x	x	
DragonBot	SR2	AwButNowWeHaveToStopPlayingImHungry	Aw, but now we have to stop playing for today. I'm hungry. 	x	x	
DragonBot	SR2	AwComeOnItllBeFun	Aw, come on, it'll be fun!	x	x	
DragonBot	SR2	AwIllHaveToPracticeMore	Aw, I'll have to practice more.	x	x	
DragonBot	SR2	AwImSorry	Aw, I'm sorry.	x	x	
DragonBot	SR2	AwMaybeWeWillAnyway	Aw, maybe we will anyway.	x	x	
DragonBot	SR2	Awesome	Awesome!	x	x	
DragonBot	SR2	Awww	Awwww.	x	x	
DragonBot	SR2	BackToPlayWithYourFavoriteRobot	Back to play with your favorite robot again?	x	x	
DragonBot	SR2	ButIHaveToGoPracticeFlying	But I have to go practice flying now so I'll get big and strong.	x	x	
DragonBot	SR2	ButLikeISaidStartSchool	But like I said earlier, my mom says I have to start school.	x	x	
DragonBot	SR2	CanYouWaitYourTurn	Can you wait your turn?	x	x	
DragonBot	SR2	Cool	Cool.	x	x	
DragonBot	SR2	DidYouDoAnythingFunYetToday	Did you do anything fun yet today?	x	x	
DragonBot	SR2	DidYouDoAnyFunStuffThisMorning	Did you do fun stuff this morning?	x	x	
DragonBot	SR2	DidYouLikePlayingToday	Did you like playing today?	x	x	
DragonBot	SR2	DoYouHaveFavoriteBook	Do you have a favorite book?	x	x	
DragonBot	SR2	DoYouKnowAnyOtherRobots	Do you know any other robots?	x	x	
DragonBot	SR2	DoYouThinkGoodMovieWriter	Do you think I'd be a good story writer for movies?	x	x	
DragonBot	SR2	DoYouWantToPlayStoryGame	Do you want to play the story game on the magic table now?	x	x	
DragonBot	SR2	DoYouWantToPlayStoryGame	Do you want to play the story game on the magic table?	x	x	
DragonBot	SR2	DontYouHaveToGoBackToClass	Don't you have to go back to your classroom?	x	x	
DragonBot	SR2	EngineersArePeopleWhoBuild	Engineers are people who build, make, or invent things!	x	x	
DragonBot	SR2	FlyingPracticeTimeWingsLookBigger	Flying practice time for me! Don't my wings look bigger now?	x	x	
DragonBot	SR2	GoAheadYouTellStory	Go ahead, you tell a story!	x	x	
DragonBot	SR2	GotIt	Got it?	x	x	
DragonBot	SR2	GuessWhat	Guess what! 	x	x	
DragonBot	SR2	HahaYeah	Haha, yeah.	x	x	
DragonBot	SR2	HmLetsSee	Hm, let's see...	x	x	
DragonBot	SR2	HowOldAreYou	How old are you? 	x	x	
DragonBot	SR2	ICanTeachYouAgain	I can teach you again! It's not hard.	x	x	
DragonBot	SR2	IGetToStartNextWeek	I get to start next week! I'm so excited.	x	x	
DragonBot	SR2	IGotToGoToABirthdayParty	I got to go to a birthday party yesterday for one of my robot friends.	x	x	
DragonBot	SR2	IHadFunToo	I had fun too!	x	x	
DragonBot	SR2	IHaveToGoNowThough	I have to go now, though.	x	x	
DragonBot	SR2	IHaveToPracticeFlyingEveryDay	I have to practice flying every day until I'm better at it.	x	x	
DragonBot	SR2	ILikePlayingItWithYou	I like playing it with you.	x	x	
DragonBot	SR2	ILikePlayingWithYou	I like playing with you. 	x	x	
DragonBot	SR2	ILikeThat	I like that!	x	x	
DragonBot	SR2	ILikeYouToo	I like you too.	x	x	
DragonBot	SR2	ILikeYourOutfitToday	I like your outfit today. 	x	x	
DragonBot	SR2	ILikedThat	I liked that!	x	x	
DragonBot	SR2	ILikedYourStory	I liked your story.	x	x	
DragonBot	SR2	IReadABook	I read a book about an engineer this morning!	x	x	
DragonBot	SR2	IReallyLikedPlaying	I really liked playing with you.	x	x	
DragonBot	SR2	IThinkIllTellAStoryAbout	I think I'll tell a story about... 	x	x	
DragonBot	SR2	IThinkTheyDoButIGrowSlow	I think they do... but I guess I grow slowly.	x	x	
DragonBot	SR2	IThinkYouShouldGoFirst	I think you should go first.	x	x	
DragonBot	SR2	IWantToBeADragonInAMovie	I want to be a big, strong dragon, so I can be in a movie!	x	x	
DragonBot	SR2	IWantToTellYou	I want to tell you!	x	x	
DragonBot	SR2	IWantToWriteStoriesAndAct	I want to write stories for movies, and act them out!	x	x	
DragonBot	SR2	IWasBuiltThreeYearsAgo	I was built almost three years ago. 	x	x	
DragonBot	SR2	IWasBuiltAtMIT	I was built at MIT!	x	x	
DragonBot	SR2	IWishICouldDoSomethingLikeThat	I wish I could do something like that!	x	x	
DragonBot	SR2	IWishICouldStayAndPlay	I wish I could stay and play forever.	x	x	
DragonBot	SR2	IllGoFirstToRemindYou	I'll go first again to remind you of how it works.	x	x	
DragonBot	SR2	IllGoFirstToShowYou	I'll go first to show you how it works.	x	x	
DragonBot	SR2	IllGoFirstToday	I'll go first today!	x	x	
DragonBot	SR2	IllGoFlyIWishIGrewFast	I'll go fly! I wish I grew as fast as you do!	x	x	
DragonBot	SR2	IllTeachYou	I'll teach you how to play!	x	x	
DragonBot	SR2	IllTellAStoryAbout	I'll tell a story about...	x	x	
DragonBot	SR2	IllTellOneNow	I'll tell one now!	x	x	
DragonBot	SR2	ImADragonSeeMyWings	I'm a baby dragon! See my wings?	x	x	
DragonBot	SR2	ImHavingASnackThenFly	I'm going to have a snack, then go fly.	x	x	
DragonBot	SR2	ImGoingToTellStoriesAndFly	I'm going to make up more stories while I practice flying!	x	x	
DragonBot	SR2	ImExcitedToStartSchool	I'm super excited about starting school!	x	x	
DragonBot	SR2	IveHadFunPlaying	I've had so much fun playing with you!	x	x	
DragonBot	SR2	IsItYourFavoriteGame	Is it your favorite game, too?	x	x	
DragonBot	SR2	IsSchoolFun	Is school fun?	x	x	
DragonBot	SR2	ItWasAboutAGirlAirplane	It was about a girl who tried to build an airplane.	x	x	
DragonBot	SR2	ItsEasyWeTakeTurns	It's easy. We take turns telling stories! 	x	x	
DragonBot	SR2	ItsLikeIpadTablet	It's like an ipad or tablet.	x	x	
DragonBot	SR2	ItsNotVeryHard	It's not very hard.	x	x	
DragonBot	SR2	MaybeStoryCouldBeMovie	Maybe one of our stories could be a movie someday.	x	x	
DragonBot	SR2	MaybeICanComeBackAndPlay	Maybe someday I'll get to come back and play, though!	x	x	
DragonBot	SR2	MyMomSaidIStartSchool	My mom said that now I'm big enough to start school!	x	x	
DragonBot	SR2	MyMomSaysStrongDragons	My mom says strong dragons can do whatever they want, and I want to write stories when I grow up!	x	x	
DragonBot	SR2	MyMomSaysWhenImBetter	My mom says when I'm better at flying, I can go to school like you!	x	x	
DragonBot	SR2	MyNameIsGreen	My name is Green!	x	x	
DragonBot	SR2	NiceStory	Nice story!	x	x	
DragonBot	SR2	NiceToMeetYou	Nice to meet you!	x	x	
DragonBot	SR2	NoItsMyTurnNow	No, it's my turn now.	x	x	
DragonBot	SR2	NoYouHaveToGoToClassFun	No, you have to go back to your class, and do fun stuff!	x	x	
DragonBot	SR2	NoYouHaveToGoToClass	No, you have to go back to your class.	x	x	
DragonBot	SR2	NoThatsOkay	No? That's okay. 	x	x	
DragonBot	SR2	NoWhatWasntFun	No? What did you do that wasn't fun?	x	x	
DragonBot	SR2	NothingThatsOkay	Nothing? Well, that's okay.	x	x	
DragonBot	SR2	NowIllTellAnother	Now I'll tell another.	x	x	
DragonBot	SR2	NowThatICanFlyICanSchool	Now that I can fly better, I can go to dragon school!	x	x	
DragonBot	SR2	OfCourseYouDo	Of course you do.	x	x	
DragonBot	SR2	OhNo	Oh no!	x	x	
DragonBot	SR2	OhRightYouHaveToGoToClass	Oh right, but you have to go back to your classroom.	x	x	
DragonBot	SR2	OhCool	Oh, cool.	x	x	
DragonBot	SR2	OhGood	Oh, good.	x	x	
DragonBot	SR2	OkayGreat	Okay, great!	x	x	
DragonBot	SR2	OkayIllTellOneNow	Okay, I'll tell one now! 	x	x	
DragonBot	SR2	OkayMyStorysOver	Okay, my story's over.	x	x	
DragonBot	SR2	OkayMyTurn	Okay, my turn!	x	x	
DragonBot	SR2	OkayYouCanFinish	Okay, you can finish!	x	x	
DragonBot	SR2	OkayIHaveAGoodIdea	Okay! Hm, I have a good idea!	x	x	
DragonBot	SR2	OohHi	Ooh, hi!	x	x	
DragonBot	SR2	Ooh	Ooh!	x	x	
DragonBot	SR2	PickAStory	Pick a story!	x	x	
DragonBot	SR2	PleaseDontTouchTheTable	Please don't touch the magic table on my turn.	x	x	
DragonBot	SR2	PleaseIHaveAGoodIdea	Please? I have a good idea for a story to tell!	x	x	
DragonBot	SR2	ReallyAwesome	Really? Awesome.	x	x	
DragonBot	SR2	RememberMeImGreen	Remember me? I'm Green!	x	x	
DragonBot	SR2	RememberTheStoryGame	Remember the story game we played last time? 	x	x	
DragonBot	SR2	RememberFlyingPractice	Remember, I go to flying practice! Don't I look bigger now?	x	x	
